"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","check PWA","1","0","","0"
"0","","0","example test","1","0","","0"
"0","","0","lighthouse (local)","1","0","","0"
"0","","0","lighthouse (cloud)","0","1","","0"
